name,category,style,abv,ibu,srm
Augsburger Dark,North American Lager,American-Style Lager,0.0,0.0,0.0
Aurora Amber Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Aussie Lager,North American Lager,American-Style Lager,0.0,0.0,0.0
Autumn Ale,British Ale,English-Style Pale Mild Ale,0.0,0.0,0.0
Autumn Ale,North American Ale,American-Style Brown Ale,6.699999809265137,0.0,0.0
Autumn Strong Lager,German Lager,German-Style Oktoberfest,0.0,0.0,0.0
Autumnal Fire,German Lager,Traditional German-Style Bock,0.0,0.0,0.0
Avalanche Amber,North American Ale,American-Style Amber/Red Ale,0.0,0.0,0.0
Aventinus Weizen-Eisbock,German Lager,Traditional German-Style Bock,12.0,0.0,0.0
Aviator Doppelbock,German Lager,Traditional German-Style Bock,0.0,0.0,0.0
Aviator Red,North American Ale,American-Style Amber/Red Ale,5.25,0.0,0.0
B3K Schwarzbier,German Lager,German-Style Schwarzbier,5.300000190734863,0.0,0.0
BJ's Annual Grand Cru,Belgian and French Ale,Belgian-Style Pale Strong Ale,10.0,0.0,0.0
Bacchanal Blonde,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
BackDraft Chocolate Porter,Irish Ale,Porter,0.0,0.0,0.0
Backpacker IPA,North American Ale,American-Style India Pale Ale,0.0,0.0,0.0
Bad Bear Brown,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Bad Billy Blond Bock,German Lager,German-Style Heller Bock/Maibock,6.199999809265137,0.0,0.0
Bad Boy Oktoberfest,German Lager,German-Style Oktoberfest,0.0,0.0,0.0
Baden Powell Cream Ale,North American Lager,American-Style Lager,0.0,0.0,0.0
BaderbrÃ¤u Pilsener,North American Lager,American-Style Lager,0.0,0.0,0.0
Badger Porter,Irish Ale,Porter,0.0,0.0,0.0
Badger Red Ale,North American Ale,American-Style Amber/Red Ale,0.0,0.0,0.0
Bagpiper's Scottish Ale,British Ale,Scotch Ale,9.0,0.0,0.0
Bah Humbug,British Ale,Old Ale,6.0,0.0,0.0
Bajuvator Doppelbock,German Lager,Traditional German-Style Bock,7.199999809265137,0.0,0.0
Bak,German Lager,Traditional German-Style Bock,7.300000190734863,0.0,0.0
Balashi,German Lager,German-Style Pilsener,5.0,0.0,0.0
Balboa Cerveza Pilsner,North American Lager,American-Style Lager,0.0,0.0,0.0
Baltas Alus,German Ale,South German-Style Hefeweizen,5.199999809265137,0.0,0.0
Baltika #5,North American Lager,American-Style Lager,5.300000190734863,0.0,0.0
